robot_id,keyframe_id,timestamp,x,y,z,qx,qy,qz,qw
robot_1,56,1067.850783347,29.9314289093,1.3817352057,-0.3359695375,0.0410263725,0.0128107201,0.0246436913,0.9987719655
robot_1,57,1068.856408357,30.4507541656,1.4121776819,-0.3346583545,0.0395729654,0.0184224900,0.0237504970,0.9987645149
robot_1,58,1070.062138318,31.0727596283,1.4202183485,-0.3472118676,0.0268973745,0.0194602348,0.0234441161,0.9991737604
robot_1,59,1071.066300391,31.5816421509,1.4169869423,-0.3579330146,0.0336041115,0.0212432668,0.0257523339,0.9988775253
robot_1,60,1072.17000842,32.1175270081,1.4436355829,-0.3571806252,0.0266572200,0.0150383525,0.0161531381,0.9994009733
robot_1,61,1073.173175334,32.6201400757,1.4635429382,-0.3542905748,0.0149026625,0.0047633341,0.0370046683,0.9991925955
robot_1,62,1074.176297426,33.1590080261,1.5437058210,-0.3450677097,0.0004851338,0.0149005409,0.0550712571,0.9983711243
robot_1,63,1075.279038428,33.7023010254,1.5857673883,-0.3455205262,-0.0005829619,0.0168295819,0.0374475643,0.9991567135
robot_1,64,1076.281339406,34.2459068298,1.5816053152,-0.3636219203,0.0075808754,0.0336826704,0.0033378685,0.9993982315
robot_1,65,1077.384130238,34.8084030151,1.5554162264,-0.3604062498,0.0200907905,0.0228753239,0.0102271214,0.9994841218
robot_1,66,1078.386038302,35.3119239807,1.5618646145,-0.3701223731,0.0314261392,0.0344654471,0.0318239257,0.9984046221
robot_1,67,1079.487271308,35.8419494629,1.5852091312,-0.3864666522,0.0224428978,0.0124098742,0.0324786864,0.9991433620
robot_1,68,1080.58932638,36.3938217163,1.6045514345,-0.4038076699,0.0267885514,0.0187074188,0.0310108792,0.9989848733
robot_1,69,1081.691076278,36.9449653625,1.6308749914,-0.3918744028,0.0357704125,0.0134871779,0.0202982314,0.9990628362
robot_1,70,1082.692353247,37.4476051331,1.6207315922,-0.3902315497,0.0245056972,0.0097887618,0.0039523961,0.9996439219
robot_1,71,1083.893782376,37.9519004822,1.6005539894,-0.3947431743,0.0298925266,0.0233881418,-0.0104839522,0.9992244840
robot_1,72,1084.694075345,38.4858703613,1.5760217905,-0.3785830140,0.0380645394,0.0136019876,-0.0197786409,0.9989868999
robot_1,73,1085.895674227,39.0597763062,1.5457010269,-0.3632252216,0.0275689829,0.0190857407,-0.0081171300,0.9994047284
robot_1,74,1086.895907401,39.5843467712,1.5662519932,-0.4071890414,0.0264976081,0.0162683893,0.0259917043,0.9991784692
robot_1,75,1088.096913336,40.1587600708,1.5779774189,-0.4000000656,0.0205436610,0.0219144896,0.0409388468,0.9987100363
robot_1,76,1089.09799242,40.6895523071,1.5987851620,-0.3964877725,0.0264792051,0.0218541920,0.0448951796,0.9984015822
robot_1,77,1089.998496293,41.1967620850,1.6257328987,-0.4052671492,0.0331873074,0.0259912554,0.0405821837,0.9982866049
robot_1,78,1091.100111246,41.7094383240,1.6410092115,-0.4074147046,0.0273862444,0.0162956417,0.0139022889,0.9993954301
robot_1,79,1092.300474404,42.2510185242,1.6613173485,-0.4247377813,0.0272385944,0.0238719732,0.0185495503,0.9991717339
robot_1,80,1093.201340436,42.7554168701,1.6452142000,-0.4266155064,0.0346871577,0.0005310835,0.0075607933,0.9993695021
robot_1,81,1094.20196843,43.2580604553,1.6666474342,-0.4194291234,0.0138172740,0.0162645783,0.0087102959,0.9997342825
robot_1,82,1095.202194212,43.8171691895,1.6657176018,-0.4161289036,0.0152155152,0.0196176525,0.0137113649,0.9995977283
robot_1,83,1096.603287219,44.4410934448,1.6581352949,-0.4126030505,0.0138371270,0.0137982033,0.0108113931,0.9997506142
robot_1,84,1097.602403401,44.9427528381,1.6587947607,-0.4309975803,0.0124169700,0.0154558644,0.0151418773,0.9996888041
robot_1,85,1098.601268291,45.4899559021,1.7009164095,-0.4318248928,0.0015392995,0.0193907954,0.0616602525,0.9979076385
robot_1,86,1099.70031023,46.0251502991,1.7693110704,-0.4312738776,-0.0028179882,0.0262265373,0.0256969687,0.9993216991
robot_1,87,1100.799708365,46.6251754761,1.7085644007,-0.4374106526,0.0160804521,0.0373311304,-0.0070074648,0.9991489649
robot_1,88,1101.79814124,47.0614929199,1.6938812733,-0.4412388206,0.0344391018,-0.0108581381,-0.0865711719,0.9955910444
robot_1,89,1102.798015355,47.5870475769,1.6168632507,-0.4313528538,-0.0112173976,0.0146007780,-0.1182549298,0.9928125739
robot_1,90,1103.896708249,48.0941162109,1.5119566917,-0.4234966636,-0.0184939373,0.0012027217,-0.0708195046,0.9973169565
robot_1,91,1104.596267223,48.4090538025,1.4762188196,-0.4109670222,-0.0088568227,-0.0040589473,0.0149677573,0.9998404980
robot_1,92,1105.5958364,48.9792861938,1.4922739267,-0.4123160839,-0.0054909564,0.0172119699,0.0290968604,0.9994133115
robot_1,93,1106.694671391,49.5176124573,1.5097444057,-0.4189269841,-0.0035211828,0.0159706939,0.0408453532,0.9990316033
robot_1,94,1107.694343328,50.0412139893,1.5249946117,-0.4150884748,0.0040970319,0.0070895953,0.0359231122,0.9993209839
robot_1,95,1108.793840407,50.5868072510,1.5391083956,-0.4153034091,0.0152601730,0.0139727397,0.0102348914,0.9997335076
robot_1,96,1109.893660306,51.1992988586,1.5338357687,-0.4257348180,0.0130533222,0.0197687298,-0.0106969168,0.9996621609
robot_1,97,1110.992644309,51.7516479492,1.4710795879,-0.4275005162,0.0225340147,0.0219027605,-0.0292669311,0.9990775585
robot_1,98,1112.092518328,52.3089218140,1.4052723646,-0.4428952932,0.0395144150,0.0176719036,-0.0404224321,0.9982446432
robot_1,99,1113.192666291,52.8394393921,1.3705379963,-0.4386959970,0.0283303522,0.0065319482,-0.0334642455,0.9990169406
robot_1,100,1114.291892289,53.4113006592,1.3319487572,-0.4321895540,0.0311508607,0.0157424975,0.0062953103,0.9993708730
robot_1,101,1115.391513346,53.9730148315,1.3527771235,-0.4384829998,0.0378550701,0.0180800259,0.0673720241,0.9968456030
robot_1,102,1116.491445302,54.5279235840,1.4070767164,-0.4203136861,0.0583643802,0.0031066285,0.1160549149,0.9915216565
robot_1,103,1117.491244315,55.0428733826,1.4984210730,-0.4104192555,0.0721135885,0.0094320262,0.1611925364,0.9842396379
robot_1,104,1118.591363429,55.5412979126,1.6404052973,-0.4029175043,0.0784610733,-0.0006469269,0.1580393165,0.9843104482
robot_1,105,1119.691500424,56.0813255310,1.7975221872,-0.3640347421,0.0682496876,0.0031285000,0.1674385220,0.9835123420
robot_1,106,1120.691507338,56.5814704895,2.0206093788,-0.3591035604,0.0242469702,0.0289146062,0.1766235232,0.9835548401
robot_1,107,1122.191077231,57.2948570251,2.2642037868,-0.3569544554,-0.0181185305,0.0164146107,0.0939425528,0.9952774048
robot_1,108,1123.191348313,57.8280982971,2.3148934841,-0.3527869880,-0.0194116160,0.0280461516,0.0194896571,0.9992280602
robot_1,109,1124.390720367,58.4251060486,2.2991161346,-0.3692118824,-0.0196532700,0.0226265620,-0.0339411497,0.9989743829
robot_1,110,1125.591348409,59.0925254822,2.1834824085,-0.3785359561,-0.0065387408,0.0098805483,-0.0923748314,0.9956538081
robot_1,111,1126.690954445,59.5976562500,2.0242588520,-0.3581396937,0.0188677199,0.0104000615,-0.1167641655,0.9929259419
